frame, timestamp, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
1,0,0,0,0,0,1.94876,2.6141,1.52178,3.29537,0,1.62866,1.11779,4.48594,0,0.988311,0,1.5154,1.37989
2,0.0398376,0,0,0,0,1.83699,2.49312,1.56854,2.88588,0,1.65506,0.957997,4.3155,0,0.590663,0,1.32727,1.11486
3,0.0796751,0,0,0,0,1.71838,2.41743,1.54988,2.7143,0,1.35544,0.983557,4.19512,0,0.285505,0,1.12789,0.897201
4,0.119513,0,0,0,0,1.6125,2.42782,1.38036,2.71314,0,0.772388,1.0911,4.45554,0,0.211211,0,0.602189,0.868344
5,0.15935,0,0,0,0,1.62571,2.51897,1.41229,2.90246,0,0.561877,0.903037,4.54747,0,0.239964,0,0.4365,0.824867
6,0.199188,0,0,0,0,1.64871,2.50165,1.45693,2.80732,0,0.57659,0.871734,4.76746,0.0207026,0.413029,0,0.307358,0.878915
7,0.239025,0,0,0,0,1.66508,2.37376,1.56249,2.75919,0,0.65768,0.964635,4.83526,0.0207026,0.49689,0,0.389494,0.844457
8,0.278863,0,0,0,0,1.65459,2.44435,1.44217,2.69667,0,0.549577,0.724502,4.68732,0.0207026,0.609733,0,0.558191,0.81359
9,0.318701,0,0,0,0,1.67236,2.52385,1.35215,2.91309,0,0.756243,0.822748,4.7234,0,0.644039,0,0.630797,0.816278
10,0.358538,0,0,0,0,1.74739,2.73009,1.32681,2.87428,0,0.603717,0.971964,4.74203,0,0.760149,0,0.804195,0.860556
11,0.398376,0,0,0,0,1.75488,2.63109,1.38914,2.75586,0,0.7507,1.29447,4.73598,0,0.724128,0,0.80389,0.902923
12,0.438213,0,0,0,0,1.78059,2.67673,1.35351,2.74694,0,0.500478,0.944412,4.63053,0,0.645066,0,0.772692,0.872094
13,0.478051,0,0,0,0,1.75586,2.63768,1.4566,2.84246,0,0.675854,0.621091,4.6602,0,0.595191,0,0.810106,0.815922
14,0.517888,0,0,0,0,1.74463,2.69341,1.51243,3.01216,0,0.592278,0.533628,4.81447,0,0.480465,0,0.821723,0.805779
15,0.557726,0,0,0,0,1.70593,2.67226,1.56739,2.92915,0.020563,0.673423,0.739535,4.95558,0,0.389495,0,0.603702,0.793037
16,0.597563,0.0431946,0,0,0,1.64644,2.71518,1.45729,2.99398,0.0415965,0.478232,0.922123,4.90886,0.0318942,0.303723,0,0.345368,0.772697
17,0.637401,0.0496857,0,0,0,1.59558,2.75833,1.32813,3.01464,0.0547326,0.295567,0.975978,4.64473,0.0462764,0.211267,0,0.0891808,0.771954
18,0.677239,0.11258,0,0,0,1.53004,2.79844,1.27942,3.14616,0.0341695,0,0.808143,4.35752,0.142383,0.149648,0,0.0891808,0.797384
19,0.717076,0.0693857,0,0,0,1.5327,2.70743,1.22776,3.0525,0.013136,0,0.800022,4.10132,0.243255,0.00160647,0,0.0545657,0.833858
20,0.756914,0.0628946,0,0,0,1.55799,2.5901,1.23091,3.00923,0.0046762,0.085205,0.768243,4.28743,0.228873,0.0208581,0,0.0378068,0.853716
21,0.796751,0.0158228,0,0,0,1.603,2.55597,1.19323,2.99574,0.0046762,0.085205,0.970583,4.37701,0.172978,0.0208581,0,0.0938445,0.845937
22,0.836589,0.0158228,0,0,0,1.61517,2.71379,1.11207,3.01961,0.0046762,0.085205,1.00962,4.53563,0.158109,0.108566,0,0.0938445,0.847238
23,0.876426,0.0158228,0,0,0,1.57375,2.84025,0.992573,2.92576,0.0612213,0,1.4772,4.48081,0.203497,0.0893143,0,0.0560376,0.821777
24,0.916264,0.101889,0,0,0,1.47571,2.9566,0.977314,2.86047,0.0612213,0,1.72157,4.48735,0.319707,0.0893143,0,0,0.773153
