Emotion,Frame,timestep, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
Anger,49,2,0.689705,0,2.47302,0,1.87129,4.92558,0.0628376,1.88767,0,0.0673124,0.288998,3.51897,0,0.972492,0.000323143,0.16706,1.36816
Anger,121,5,0,0,2.30368,0,2.27146,4.08587,1.79646,2.5037,0.592329,0.734143,0,0.00841042,0.0286928,0,3.90074,1.84063,0
Anger,193,8,0,0.0202369,0.403156,0,0.243924,0.40531,0.182043,0.570405,0.183903,0,0,0.253206,0,0.851326,0.0728768,0.0531752,0
Happy ,337,14,0,0,0,0.0140128,2.33177,1.17884,0,2.2449,3.16645,0.979946,0,1.23375,0,0,2.06641,0.187952,0
Happy ,409,17,0,0,0,0,2.44651,1.74694,0,3.48402,3.17828,2.86809,0.300288,0,0,0,1.54729,0,0.1093
Happy ,505,21,0,0,1.40162,0,4.75167,4.19427,0.861637,3.85377,3.82857,3.12148,0,0.463017,0.331902,0.000228843,2.50291,1.67363,0
Sad ,625,26,0.160214,0,0,0,0.174343,0.516171,0,0.0203272,0,0.164128,0.00206748,0,0.0801294,0,0,0.294238,0.325637
Sad ,697,29,0,0,0.177504,0,1.33163,1.75941,0,1.59613,2.21126,1.53859,0.701113,3.91948,0,0.30657,0.260322,1.65554,0.297709
Sad ,793,33,4.32746,0.133055,2.0241,0.10928,0,0.447113,0,0,0.260361,1.32429,0,1.32343,0.483052,0.0123919,0,0,0
Surprise,865,36,3.33333,0.751153,0.156936,0,0.635942,0.0593249,0.944708,0.00510033,0,0,2.18147,2.02581,0.755138,1.21517,0.170417,0,0.815342
Surprise,1009,42,3.42866,2.32884,0.321257,2.92769,0,0.320903,0,0.109369,0.458881,0,0,1.03688,0,0,1.83938,2.84211,0.0805046
Surprise,985,41,3.46445,2.30399,0.243395,2.92695,0,0.280281,0,0.196814,0.531965,0,0,1.02444,0,0,1.93053,2.89713,0.0369298
Embarrassment,52,2,0.0919327,0,0,0,1.36909,3.08452,1.01877,3.04811,0.117012,0,1.79001,4.36749,0.142239,0.0146365,0,0,0.663843
Embarrassment,177,7,1.09762,0,1.71094,0,0.453164,0.674906,0.00135298,1.00688,1.1377,0.604827,0,0,0,0.00976217,1.88649,1.8894,0.0024114
Embarrassment,454,18,0,0,0,0,0.777654,1.61715,0,0.594652,2.32372,2.69035,0,0.0246712,0,0,0.69301,0,1.04391
